Asset,DateTime,Price_Close,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12
XAU/USD,11/14/2014 17:00,1188.51,0.004928091,0.004976532,0.005004974,0.008526037,0.009807819,0.009732767,0.009691911,0.009609299,0.0095691,0.00941603,0.009864909,0.004844817,0.01734993,0.01722477,0.010079133,0.017357023,0.009828486,0.009843346,0.009843505,0.009853571,0.009514836,0.009531752,0.010096583,0.010998905
XAU/USD,11/17/2014 17:00,1186.34,-0.003032537,-0.000801596,-0.003079584,-0.001387465,-0.000794371,-0.000788394,-0.00078514,-0.000778559,-0.002366992,-0.002329514,-0.000798916,-0.000780646,-0.003076878,-0.00080645,-0.003101931,-0.001415993,-0.000796016,-0.000797199,-0.000797212,-0.000798013,-0.002354146,-0.002357849,-0.00081735,-0.000803175
XAU/USD,11/18/2014 17:00,1196.72,0.002384312,0.002439309,-0.006018676,-0.00590056,0.003118444,0.003094763,0.003081872,0.002583219,-0.003667097,-0.003608827,-0.006035275,0.002374869,0.002389652,0.002467946,-0.006010364,-0.005931021,0.00243126,0.002428084,0.002428739,0.001469785,-0.003648487,-0.003652881,-0.006176045,0.002452882
XAU/USD,11/19/2014 17:00,1182.37,-0.006554649,0.007383553,0.007505967,0.007367485,0,0,0,0,0.000370012,0.007037129,0.007336041,-0.006430377,-0.006569213,0.007285069,0.007495533,0.007405768,-0.006472395,-0.006545699,-0.007740081,-0.006553693,-0.006322229,0.007123546,0.007508294,-0.006535276
XAU/USD,11/20/2014 17:00,1193.48,-0.006981803,0.004087237,0.004154383,0.004078422,0,0,0,0,-0.002921478,0.003867422,-0.001281799,-0.01183039,-0.006997502,0.004033202,0.004148661,0.004099424,-0.002991328,0.004042549,0.004038288,0.004047066,-0.002918612,0.003914506,-0.008724056,-0.012026292
XAU/USD,11/21/2014 17:00,1201.18,0.002839628,0.002824929,0.002871207,0.002818853,0,0,0,0,0.002727664,0.002673399,0.00016167,-0.002097242,0.002846058,0.002787684,0.002867263,0.002833328,0.002800569,0.002794127,0.002791189,0.00279724,0.002732038,0.00270586,0.002869007,-0.00142062
XAU/USD,11/24/2014 17:00,1196.76,-0.002145094,-0.00222552,-0.001301799,-0.001608976,0,0,0,0,-0.002071915,-0.001836454,-0.001063377,0,-0.002670984,-0.002789783,-0.001300022,-0.001617192,-0.001598599,-0.001594942,-0.00394399,-0.001596709,-0.002075222,-0.002842021,-0.00110165,-0.001274279
XAU/USD,11/25/2014 17:00,1200.6,0.000810607,0.000796565,0.001415055,0.001407594,0.000787933,0.000789672,0.0007857,0.000779442,0.004192643,0.000753704,0.001394187,0.000801178,0.001183826,0.003862378,0.001413109,0.001414832,0.001398453,0.001395231,0.001399352,0.001396788,0.0060034,0.001332164,0.001433635,0.001425981
XAU/USD,11/26/2014 17:00,1197.58,-0.001104973,-0.001085878,-0.001105349,-0.001099561,-0.00107414,-0.001076505,-0.001071104,-0.001062593,-0.00105491,-0.001027587,-0.001089158,-0.001092152,-0.001108849,-0.001073557,-0.00110384,-0.001105177,-0.001092467,-0.001089968,-0.001093165,-0.001091176,-0.001059209,-0.001041012,-0.001119763,-0.001113826
XAU/USD,11/27/2014 17:00,1191.5,-0.002223434,-0.002185033,-0.002224192,-0.002212551,-0.002161426,-0.002166181,-0.002155318,-0.002138201,-0.00357373,-0.002067795,-0.002191628,-0.002197651,-0.002231231,-0.002160252,-0.002221157,-0.002223845,-0.002198285,-0.002193257,-0.002199688,-0.002195687,-0.008070392,-0.002094797,-0.002253181,-0.00224124
XAU/USD,11/28/2014 17:00,1168.65,-0.00463566,-0.008269805,-0.008419083,-0.008374701,-0.008179833,-0.008197955,-0.008156558,-0.008091332,0.006375938,-0.001661266,-0.002347848,-0.002354333,-0.000792111,-0.008175362,-0.008407509,-0.008417757,-0.008320318,-0.008301155,-0.008325669,-0.008310417,0.005703594,0.004606681,0.003742349,0.003722367
XAU/USD,12/1/2014 17:00,1211.63,-9.85E-05,-0.006618916,0.015880712,0.015796757,0.015428166,0.015462441,0.015384145,0.015260783,-0.0051247,-0.011791782,0.005149496,0,-0.005479696,-0.018876903,0.015858818,0.015878204,0.015693886,0.01565764,0.015704009,0.015675158,-0.005137666,-0.005056501,-0.005441747,-0.005413189
XAU/USD,12/2/2014 17:00,1198.13,0.001856935,-0.006933027,-0.005954407,-0.005923266,-0.006772506,-0.006787377,-0.005770164,-0.003903672,-0.000547891,-0.000540986,0.000104848,0.001159698,0.001845824,-0.006980066,-0.00695615,-0.006951902,-0.006881418,-0.006872252,-0.006892115,-0.003142152,-0.000550534,-0.000540734,0.000108971,-0.000576609
XAU/USD,12/3/2014 17:00,1209.2,-0.004049647,-0.004096455,0,0,-0.003962811,-0.003971568,0,0,-0.00309794,-0.003817516,-0.003963724,-0.004015844,-0.004066118,-0.004082224,-0.004059996,-0.004013395,-0.004004802,-0.004022241,-0.004033078,-0.00399445,-0.003113408,-0.003815678,-0.00409428,-0.004078376
XAU/USD,12/4/2014 17:00,1204.53,0.001718135,0.001738108,-3.31E-05,-3.26E-05,0.001681087,0.001684823,0,0,-0.002392107,0.001619119,0.001681477,0.001703712,0.001725162,0.001732035,0.00172255,0.001702667,0.001699001,0.001706441,0.001711065,0.001694584,-0.003104206,0.001618336,0.00173718,0.001730393
XAU/USD,12/5/2014 17:00,1191.9,0.00462969,0.004683311,0.004597481,0.004515431,0.004530219,0.00454025,0.004034936,0.003995507,0.003745875,0.003685963,0.003190909,0.003163009,0.004648558,0.004667009,0.004641545,0.004588162,0.004578319,0.004598295,0.004610709,0.00456646,0.003774118,0.003684185,0.00329639,0.003209928
XAU/USD,12/8/2014 17:00,1203.2,-0.00412677,-0.004174386,-0.004098166,-0.004025292,-0.004038427,-0.004047336,-0.003989167,-0.00395032,0.003989923,-0.007031031,0.001782162,-0.004134009,-0.004143525,-0.00415991,-0.004137298,-0.004089889,-0.004081147,-0.004098889,-0.004109913,-0.004070615,0.004012654,-0.007027643,0.00184095,-0.004208097
